Fs,100
Logging Type,0
Initialization time,36.5
Waiting time,3
ax,ay,az,gx,gy,gz
-12,-812,15032,-447,156,-86
-208,-828,14796,-398,132,-63
-252,-828,14884,-478,124,-91
-200,-780,14836,-387,135,-64
-184,-864,14872,-454,104,-86
-176,-812,14852,-405,171,-98
-256,-732,15104,-461,185,-90
-228,-876,14548,-420,124,-79
-228,-776,14880,-450,131,-88
-132,-880,14948,-424,149,-100
-224,-792,14816,-437,139,-102
-204,-768,14752,-416,135,-83
-204,-716,14956,-426,149,-100
-212,-908,14776,-435,164,-96
-164,-828,14808,-438,140,-87
-92,-892,14924,-429,150,-100
-120,-732,14920,-433,144,-76
-128,-780,14900,-429,113,-102
-212,-692,14816,-416,137,-71
-212,-740,14916,-431,144,-96
-164,-776,14796,-418,170,-61
-192,-720,14968,-443,158,-84
-228,-796,14836,-425,154,-76
-76,-828,14920,-444,143,-102
-176,-832,14872,-433,153,-83
-160,-780,14924,-431,118,-89
-124,-852,14968,-423,152,-61
-132,-856,14752,-423,145,-70
-252,-700,14904,-424,139,-72
-104,-700,14876,-423,130,-60
-196,-868,14896,-436,138,-103
-164,-812,14664,-417,144,-64
-112,-808,14856,-425,149,-70
-104,-808,14944,-429,173,-83
-172,-796,14944,-439,126,-81
-132,-904,14956,-436,143,-86
-112,-924,14820,-425,131,-85
-128,-760,14800,-426,126,-91
-128,-820,14892,-446,135,-96
-172,-844,14856,-421,143,-58
-140,-900,14840,-422,156,-95
-120,-740,14816,-424,149,-90
-116,-812,14832,-428,138,-63
-172,-792,14760,-408,131,-85
-176,-812,14844,-433,119,-85
-124,-840,14852,-434,138,-74
-184,-812,14760,-427,164,-87
-176,-868,14844,-426,155,-103
-124,-804,14852,-431,121,-74
-192,-740,14692,-438,152,-79
-84,-848,14712,-413,137,-70
-120,-764,14840,-427,138,-65
-240,-764,14736,-429,159,-88
-228,-804,14764,-419,115,-92
-152,-764,14780,-422,137,-96
-212,-772,14688,-437,155,-92
-124,-832,14832,-436,139,-82
-168,-764,14932,-426,175,-80
-140,-816,15004,-436,156,-85
-160,-828,14932,-412,156,-88
-156,-808,14892,-414,146,-85
-156,-752,14844,-435,148,-85
-240,-792,14936,-418,150,-61
-80,-884,14864,-426,149,-106
-176,-816,14888,-421,156,-112
-176,-860,14888,-425,142,-59
-216,-784,14916,-416,151,-91
-92,-840,15052,-418,148,-92
-116,-804,14736,-438,115,-74
-80,-796,14784,-423,111,-96
-124,-896,14808,-431,145,-94
-160,-892,14772,-440,157,-79
-76,-876,14848,-441,127,-68
-244,-780,14896,-423,155,-115
-180,-792,14892,-442,166,-77
-196,-740,15004,-433,143,-88
-188,-728,14944,-428,177,-67
-192,-744,14792,-430,172,-59
-156,-744,14800,-429,132,-60
-136,-840,14844,-429,150,-94
-156,-712,14800,-426,152,-69
-56,-800,14836,-436,151,-78
-264,-828,14860,-417,129,-77
-72,-792,14884,-433,151,-87
-220,-876,15040,-414,137,-56
-120,-800,14916,-421,148,-94
-120,-788,14824,-431,141,-81
-136,-772,14780,-424,149,-84
-180,-892,14900,-442,118,-61
-160,-848,14836,-424,144,-55
-188,-812,14840,-416,129,-85
-176,-756,14832,-427,137,-84
-192,-848,14808,-417,143,-84
-44,-892,14744,-420,165,-77
-176,-728,14884,-422,168,-105
-172,-768,14900,-412,140,-66
-36,-780,14936,-424,140,-86
-140,-708,14808,-417,121,-85
-220,-792,14744,-428,151,-74
-140,-812,14780,-439,153,-108
-56,-736,14904,-427,153,-79
-168,-740,14756,-421,125,-84
-92,-856,14816,-423,157,-78
-168,-824,14936,-422,136,-66
-324,-864,14880,-435,168,-66
-184,-820,14888,-438,154,-96
-56,-752,14788,-419,148,-90
-72,-684,14832,-418,144,-99
-248,-728,14704,-446,156,-100
-196,-776,14852,-421,151,-83
-176,-780,14816,-421,131,-79
-156,-800,14720,-436,138,-91
-200,-728,14932,-425,176,-80
-148,-768,14964,-427,142,-83
-152,-788,14904,-427,155,-105
-184,-740,14836,-447,138,-98
-236,-836,15008,-416,164,-98
-88,-776,14828,-421,117,-74
-120,-852,14904,-432,151,-94
-172,-824,14844,-436,143,-99
-128,-740,14848,-429,180,-74
-88,-788,14824,-414,153,-78
-288,-800,14888,-447,156,-78
-48,-756,14828,-423,161,-96
-144,-856,14888,-426,173,-96
-204,-800,14832,-435,127,-63
-240,-820,14820,-430,141,-95
-188,-736,15008,-422,176,-99
-44,-800,14808,-427,160,-67
-100,-760,14908,-431,150,-75
-116,-792,14932,-426,129,-84
-268,-828,14796,-426,138,-80
-112,-740,14732,-440,149,-74
-164,-856,14872,-430,170,-81
-148,-820,14804,-422,120,-71
-136,-760,14860,-419,163,-95
-88,-808,14868,-432,135,-76
-176,-876,14832,-430,148,-77
-188,-808,14860,-430,168,-93
-192,-772,14940,-430,134,-99
-128,-808,14804,-411,146,-85
-236,-816,14876,-436,144,-85
-184,-728,14876,-441,156,-81
-136,-816,14924,-425,125,-66
-88,-812,14968,-424,157,-87
-204,-672,14884,-430,136,-77
-236,-844,14812,-437,172,-90
-224,-872,14772,-433,129,-82
-208,-880,14812,-438,150,-80
-152,-892,14776,-429,139,-79
-176,-852,14796,-436,143,-71
-144,-772,14780,-406,155,-76
-256,-804,15040,-426,159,-78
-192,-664,14932,-414,140,-79
-228,-776,14828,-428,134,-91
-208,-768,14896,-412,159,-94
-112,-804,14900,-422,150,-103
-196,-732,14800,-428,150,-87
-240,-796,14824,-441,137,-91
-216,-824,14836,-431,155,-65
-128,-776,14960,-442,141,-96
-180,-804,14864,-431,126,-78
-128,-764,14888,-432,133,-77
-160,-752,14920,-428,140,-71
